User Name,Feels,Text,Selected Font,Liked,Disliked,Saved
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",Mada-Regular,True,False,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",NotoSansThai,False,False,True
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",NotoSansThai,True,False,False
Tomi,"['clean', 'feminine', 'elegant', 'established']",Zuzmo City,RobotoSlab,False,True,False
Tomi,"['clean', 'feminine', 'elegant', 'established']",Zuzmo City,PlayfairDisplaySC-BoldItalic,False,True,False
Tomi,"['clean', 'feminine', 'elegant', 'established']",Zuzmo City,Merriweather-Bold,False,True,False
Tomi,"['clean', 'feminine', 'elegant', 'established']",Zuzmo City,Lora-Italic,True,False,False
Tomi,"['clean', 'feminine', 'elegant']",Zuzmo City,DancingScript,False,True,False
Tomi,"['clean', 'feminine', 'elegant']",Zuzmo City,LeckerliOne-Regular,False,True,False
Tomi,"['clean', 'feminine', 'elegant']",Zuzmo City,Courgette-Regular,True,False,False
Tomi,"['clean', 'feminine', 'elegant']",Zuzmo City,Solitreo-Regular,True,False,False
Tomi,"['clean', 'feminine', 'elegant']",Zuzmo City,Kalam-Regular,False,True,False
Tomi,"['clean', 'feminine', 'elegant']",Zuzmo City,Amita-Regular,False,False,True
Tomi,"['simple', 'structured', 'trustworthy']",Hello it's me,Yaldevi,True,False,False
Tomi,"['simple', 'structured', 'trustworthy']",Hello it's me,CantoraOne-Regular,False,False,True
Tomi,"['simple', 'structured', 'trustworthy']",Hello it's me,CantoraOne-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,ShortStack-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,ComforterBrush-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,Redressed-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,KleeOne-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,AmaticSC-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,Chilanka-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,Caramel-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,GamjaFlower-Regular,True,False,False
Tomi,"['elegant', 'personal']",Hello it's me,HiMelody-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,Mali-ExtraLight,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,MaShanZheng-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,Satisfy-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,Yomogi-Regular,False,True,False
Tomi,"['elegant', 'personal']",Hello it's me,ShadowsIntoLightTwo-Regular,False,True,False
Koen,"['clean', 'modern']",Serif,NotoSansLaoLooped,True,False,False
Koen,"['clean', 'modern']",Serif,NotoSansAdlamUnjoined,True,False,False
Koen,"['clean', 'modern']",Serif,NotoSansLepcha-Regular,False,True,False
Koen,"['clean', 'modern']",Serif,NotoTraditionalNushu-Regular,True,False,False
Koen,"['clean', 'modern']",SERIF,NotoSansZanabazarSquare-Regular,False,True,False
Koen,"['clean', 'modern']",SERIF,NotoSansCanadianAboriginal,False,True,False
Koen,"['clean', 'modern']",SERIF,KdamThmorPro-Regular,False,True,False
Koen,"['clean', 'modern']",SERIF,MavenProVFBeta,False,False,True
Koen,"['clean', 'modern']",SERIF,MavenProVFBeta,False,True,False
Koen,"['clean', 'modern']",SERIF,NotoSansAvestan-Regular,False,True,False
Koen,"['clean', 'modern']",SERIF,Manjari-Bold,True,False,False
Koen,"['clean', 'modern']",SERIF,VarelaRound-Regular,False,True,False
Koen,"['clean', 'modern']",SERIF,Finlandica,False,False,True
Koen,"['clean', 'modern']",SERIF,Finlandica,False,True,False
Koen,"['clean', 'modern']",SERIF,Strait-Regular,False,True,False
Koen,"['clean', 'modern']",SERIF,NotoSansJP,False,True,False
Koen,"['clean', 'modern']",SERIF,TenaliRamakrishna-Regular,True,False,False
Koen,"['clean', 'modern']",SERIF,DoppioOne-Regular,False,True,False
Koen,"['clean', 'modern']",SERIF,SmoochSans,False,False,True
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,LilitaOne-Regular,True,False,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,ArimaMadurai-Bold,True,False,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,MountainsofChristmas-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,LilyScriptOne-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Moulpali-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,LibreBarcode39-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,HennyPenny-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,MedievalSharp,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,BlackOpsOne-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Baloo2,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Rowdies-Bold,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,BakbakOne-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,AlfaSlabOne-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Grandstander,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Aboreto-Regular,True,False,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,DynaPuff,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Ranga-Regular,False,False,True
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Ranga-Regular,True,False,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,UnifrakturMaguntia-Book,True,False,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Margarine-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,UnifrakturCook-Bold,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Mallanna-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Risque-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,GrenzeGotisch,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Oxanium,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,ViaodaLibre-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,ReggaeOne-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,OrelegaOne-Regular,False,True,False
Max,"['eye-catching', 'playful', 'friendly']",Superkitten Catfood,Galada-Regular,False,False,True
Max,"['eye-catching', 'playful', 'friendly', 'minimal']",Superkitten Catfood,Galada-Regular,True,False,False
Max,"['eye-catching', 'playful', 'friendly', 'minimal']",Superkitten Catfood,Gruppo-Regular,True,False,False
Max,"['eye-catching', 'playful', 'friendly', 'minimal']",Superkitten Catfood,SpecialElite-Regular,True,False,False
Max,"['eye-catching', 'playful', 'friendly', 'minimal']",Superkitten Catfood,Smokum-Regular,True,False,False
Max,"['eye-catching', 'playful', 'friendly', 'minimal']",Superkitten Catfood,SpicyRice-Regular,True,False,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,PurplePurse-Regular,True,False,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,Pompiere-Regular,True,False,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,VastShadow-Regular,False,True,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,RacingSansOne-Regular,False,True,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,Bevan-Italic,False,True,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,TitanOne-Regular,False,True,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,StintUltraExpanded-Regular,True,False,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,MaidenOrange-Regular,False,True,False
Shantusha,"['creative', 'decorative', 'elegant', 'feminine']",What color do you like to wear?,ArbutusSlab-Regular,False,True,False
Shantusha,"['creative', 'elegant', 'feminine']",What color do you like to wear?,Amita-Regular,False,False,True
Shantusha,"['creative', 'elegant', 'feminine']",What color do you like to wear?,Amita-Regular,False,False,True
Shantusha,"['creative', 'elegant', 'feminine']",What color do you like to wear?,Amita-Regular,False,False,True
Shantusha,"['creative', 'elegant', 'feminine']",What color do you like to wear?,Amita-Regular,True,False,False
Shantusha,"['creative', 'elegant', 'feminine']",What color do you like to wear?,GreyQo-Regular,True,False,False
Shantusha,"['creative', 'elegant', 'feminine']",What color do you like to wear?,Felipa-Regular,False,True,False
Shantusha,"['creative', 'elegant', 'feminine']",What color do you like to wear?,JimNightshade-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,PoiretOne-Regular,True,False,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Katibeh-Regular,True,False,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Metamorphous-Regular,True,False,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,GravitasOne,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Mirza-Regular,False,False,True
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Mirza-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Creepster-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,ZenLoop-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,ZillaSlabHighlight-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Vibes-Regular,False,False,True
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Vibes-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,AveriaSerifLibre-LightItalic,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Lacquer-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Battambang-Black,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Monofett,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,SirinStencil-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Fruktur-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Chicle-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Barrio-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,ModernAntiqua-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Asset-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Aubrey-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,NotoSerifKhmer,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,LuckiestGuy-Regular,False,True,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Forum-Regular,False,False,True
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Forum-Regular,True,False,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Graduate-Regular,True,False,False
Shantusha,"['creative', 'decorative']",What color do you like to wear?,Flamenco-Light,False,True,False
Paulina,"['open', 'informal', 'progressive']",Hi Lily,PortLligatSans-Regular,False,True,False
Paulina,"['open', 'informal', 'progressive']",Hi Lily,DidactGothic-Regular,True,False,False
Paulina,"['open', 'informal', 'progressive']",Hi Lily,Prompt-ThinItalic,True,False,False
Paulina,"['open', 'informal', 'progressive']",Hi Lily,Dhurjati-Regular,True,False,False
Paulina,"['open', 'informal', 'progressive']",Hi Lily,Timmana-Regular,False,False,True
Paulina,"['open', 'informal', 'progressive']",Hi Lily,Timmana-Regular,False,True,False
Paulina,"['progressive', 'minimal', 'contemporary']","Hi Lily, let's go to the park",Antonio,True,False,False
Paulina,"['progressive', 'minimal', 'contemporary']","Hi Lily, let's go to the park",Truculenta,False,True,False
Paulina,"['progressive', 'minimal', 'contemporary']","Hi Lily, let's go to the park",Syncopate-Bold,False,True,False
Paulina,"['progressive', 'minimal', 'contemporary']","Hi Lily, let's go to the park",Gidugu-Regular,True,False,False
Paulina,['clean'],s,SmoochSans,True,False,False
Paulina,['clean'],s,RocknRollOne-Regular,False,False,True
Paulina,['clean'],s,RocknRollOne-Regular,False,True,False
Paulina,['clean'],s,Acme-Regular,False,True,False
Paulina,['clean'],s,Philosopher-Bold,True,False,False
